task_id,sentence,tkn_start,tkn_end,chunk,entity,assertion_label
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",1,4,Swedish East India Company,ORG,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",6,8,Svenska Ostindiska Companiet,ALIAS,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",10,10,SOIC,ALIAS,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",14,14,Gothenburg,LOC,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",15,15,Sweden,LOC,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",17,17,1731,DATE,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",25,25,China,LOC,PAST
1,"The Swedish East India Company (Swedish: Svenska Ostindiska Companiet or SOIC) was founded in Gothenburg, Sweden, in 1731 for the purpose of conducting trade with China and the Far East.",28,29,Far East,LOC,PAST
1,The venture was inspired by the success of the Dutch East India Company and the British East India Company.,9,12,Dutch East India Company,ORG,PAST
1,The venture was inspired by the success of the Dutch East India Company and the British East India Company.,15,18,British East India Company,ORG,PAST
1,This made Gothenburg a European centre of trade in eastern products.,2,2,Gothenburg,LOC,PAST
1,Trade with China saw the arrival of some new customs in Sweden.,2,2,China,LOC,PAST
1,Trade with China saw the arrival of some new customs in Sweden.,11,11,Sweden,LOC,PAST
1,"The Chinese cultural influence increased, and tea, rice, arrack (a drink made from fermented sap or sugarcane) and new root vegetables started appearing in Swedish homes.It grew to become the largest trading company in Sweden during the 18th century: a total of 132 expeditions were carried out with 37 different ships.",34,34,Sweden,LOC,PAST
1,The company folded in 1813;,4,4,1813,DATE,PAST
1,"nevertheless, it left clear footprints that can still be seen in Gothenburg.",11,11,Gothenburg,LOC,PAST
1,Background Sweden was the last of the more prominent seafaring European nations to engage in the East India Trade.,16,17,East India,LOC,PAST
1,"The royal privileges for the Swedish East India Company (SOIC) were granted almost a century after the other European trading companies were established.With the advent of the East India trade in the 17th century, Chinese and Indian goods were imported to Sweden.",5,8,Swedish East India Company,ORG,PAST
1,"The royal privileges for the Swedish East India Company (SOIC) were granted almost a century after the other European trading companies were established.With the advent of the East India trade in the 17th century, Chinese and Indian goods were imported to Sweden.",9,9,SOIC,ALIAS,PAST
1,"The royal privileges for the Swedish East India Company (SOIC) were granted almost a century after the other European trading companies were established.With the advent of the East India trade in the 17th century, Chinese and Indian goods were imported to Sweden.",27,28,East India,LOC,PAST
1,"The royal privileges for the Swedish East India Company (SOIC) were granted almost a century after the other European trading companies were established.With the advent of the East India trade in the 17th century, Chinese and Indian goods were imported to Sweden.",41,41,Sweden,LOC,PAST
1,"The most prominent example of this is the Chinese Pavilion at Drottningholm, which was followed by smaller parks like the one built by Jean Abraham Grill at Godegård.",11,11,Drottningholm,LOC,PAST
1,"The most prominent example of this is the Chinese Pavilion at Drottningholm, which was followed by smaller parks like the one built by Jean Abraham Grill at Godegård.",23,25,Jean Abraham Grill,PER,PAST
1,"The most prominent example of this is the Chinese Pavilion at Drottningholm, which was followed by smaller parks like the one built by Jean Abraham Grill at Godegård.",27,27,Godegård,LOC,PAST
1,"China was considered a model community, a template for how a country should be governed.",0,0,China,LOC,PAST
1,"This culminated during the 18th century, when many Swedish scientists and politicians even suggested that Sweden should be governed by intellectual bureaucrats, ""mandarins"", led by a sovereign king in a Chinese manner.",15,15,Sweden,LOC,PAST
1,"= Early attempts =The first attempt of organizing a Swedish East India trading company was made by a Flemish merchant, Willem Usselincx.",9,11,Swedish East India,ORG,PAST
